SMILES,pLC50,LC50_(mg/L),,
C1=CC(=CC=C1N)C(=O)CC,-2.164352856,146.0000001,,
CC=O,-1.5289167,33.79999998,,
CCC(=O)CC,-3.187520721,1540.000001,,
OC1=C(Br)C=C(Br)C=C1Br,-0.815577748,6.539999995,,
O=C1C2=C(N=CN2C)N(C(=O)N1C)C,-2.178976947,150.9999999,,
NC1=CC(Cl)=C(Cl)C=C1,-0.87909588,7.570000009,,
C=CC(=O)OCC(C)C,-0.322219295,2.100000001,,
C1CCCO1,-3.334453751,2159.999999,,
CCNC1=CC(C)=CC=C1,-1.694605199,49.50000001,,
C1=CC=CC(N)=C1C(=O)C2=CC=C(Cl)C=C2,-0.326335861,2.12,,
ClC(C(Cl)(Cl)Cl)(Cl)Cl,-0.152288344,1.419999999,,
O=C(OC(C)(C)C)C,-2.514547753,327.0000003,,
O=CC1=CC(OCC)=C(O)C=C1,-1.942504106,87.59999997,,
N1=C(O)C=CC(Cl)=C1,-3.056904851,1139.999999,,
CCCCCCCCC(=O)O,-2.017033339,103.9999999,,
ClC(=C(Cl)Cl)Cl,-1.217483944,16.49999999,,
C1(C=O)=C(OC)C=C(OC)C(OC)=C1,-1.694605199,49.50000001,,
C1=CC=CC2C3=CC=CC=C3OC1=2,-0.176091259,1.5,,
C1=CC=CC=C1C(=O)C2=CC=CC=C2,-1.167317335,14.70000001,,
C#CC(O)(C)CC,-3.086359831,1220.000001,,
CCCCCCCCCCCCCN,1.184422252,0.0654,,
C1=CC(Br)=CC=C1C(=O)C2=CC=CN=C2,-1.309630167,20.39999998,,
BrC1=C(Br)C=CC=C1,-0.607455023,4.049999998,,
CCCCCCCCCCCCN,0.987162775,0.103,,
OC1=CC=CC=C1Cl,-1.056904851,11.39999999,,
O1COC2=CC=C(/C=C/C=C/C(=O)N3CCCCC3)C=C12,-0.894316063,7.840000006,,
OC1=C(I)C=C(I)C=C1I,-0.08278537,1.209999999,,
C1=CC(=CC=C1C=O)N(CC)CC,-1.378397901,23.9,,
OC(N1)=NC(C(C(CCC)C)(CC=C)C1=O)=O,-1.372912003,23.6,,
C(F)(F)(F)CO,-2.075546961,118.9999999,,
CCCSCCSCCC,-0.876217841,7.520000007,,
CCCCCCCCCC1=CC=C(O)C=C1,0.853871964,0.14,,
ClCCCCCl,-1.712649702,51.60000004,,
C(O)C#CCCCCCCC,-0.029383778,1.070000001,,
CCOC(=O)C(Cl)C(=O)OCC,0.022276395,0.949999999,,
O=C(OCC)C1=CC(N)=CC=C1,-1.897627091,78.99999995,,
C1(C=O)=CC=C(OCC)C=C1,-1.44870632,28.10000001,,
C=CC(=O)OC1CCCCC1,-0.170261715,1.479999999,,
C=C(C)C(=O)OCCO,-2.356025857,226.9999999,,
C=CCC1=CC=CC=C1O,-1.176091259,15,,
CCCCCC(=O)OCC,-0.949390007,8.900000007,,
NC1=CC=C(CC)C=C1,-1.86332286,72.99999998,,
N1=C(CC)C=CC=C1,-2.617000341,413.9999999,,
CCOCCOCCO,-4.423245874,26500,,
CC1=C(C)C=CC=C1,-1.214843848,16.4,,
N1=C(Cl)C(O)=CC=C1,-2.793790385,622.0000004,,
NC1=C(Cl)C(Cl)=C(Cl)C=C1,-0.561101384,3.640000003,,
N#CC1=C(Cl)C=CC=C1C,-1.178976947,15.09999999,,
CN(C1=CC=CC=C1)C,-1.80685803,64.10000007,,
CC(C)CC=O,-0.511883361,3.25,,
CCCCC=O,-1.11058971,12.89999999,,
CC(C)(C)C1=CC=C(OC(=O)NC)C=C1,-1,10,,
CCC(N)C,-2.439332694,275.0000001,,
CCOC(=O)N(C(=O)OCC)C(=O)OCC,-1.123851641,13.3,,
C#CC(O)CCCC,-0.245512668,1.760000001,,
BrCCC,-1.828015064,67.29999997,,
OC1=CC=C(CC)C=C1,-1.017033339,10.39999999,,
C=C(C)C(=O)OCC1OCCC1,-1.540329475,34.70000002,,
CC(C)C(O)C(C)C,-2.212187604,162.9999998,,
OC1=C(O)C=C(Cl)C(Cl)=C1,0.050609993,0.890000001,,
O=CC1=C(Cl)C=C(Cl)C=C1,-0.255272505,1.8,,
ClCC1=CC(C=C)=CC=C1,0.508638306,0.31,,
CC(O)(C)C#C,-3.517195898,3290,,
C1COC2=CC=CC=C12,-1.912222057,81.70000009,,
NC1=CC=CC=C1,-2.021189299,105,,
C1=CC=CC=C1C2=CC(=O)C3=CC=CC=C3O2,-0.544068044,3.499999997,,
CC(OC)(C)C,-2.827369273,671.9999999,,
COC(=O)C1=CC=C(C(=O)OC)C=C1[N+]([O-])=O,-0.814247596,6.520000004,,
ClC1=CC(Cl)=C([N+]([O-])=O)C=C1[N+]([O-])=O,1.341035157,0.0456,,
OC1=C(C=C(C=C1C(CC)C)[N+](=O)[O-])[N+](=O)[O-],0.271646218,0.535,,
C1=CC=CC=C1CC(N)C,-1.459392488,28.80000002,,
O=C(CC(=O)C1)CC1(C)C,-4.06069784,11499.99999,,
NCCN1CCNCC1,-3.340444115,2190.000001,,
OC1=C([N+]([O-])=O)C=C([N+]([O-])=O)C2=CC=CC=C12,-0.627365857,4.240000004,,
OC1=CC=C(CCC)C=C1,-1.041392685,11,,
C1=CC=CC=C1N(C2=CC=CC=C2)C=O,-1.482873584,30.40000003,,
N1=C(C(=O)O)C=CC=C1C(=O)O,-2.507855872,322.0000002,,
C1(C=O)=C(Cl)C=CC=C1F,-0.973589623,9.409999991,,
OC1=C(O)C=C(Cl)C=C1,-0.198657087,1.58,,
C1(C=O)=CC=C(OC2=CC=CC=C2)C=C1,-0.662757832,4.600000003,,
N1=C(C#N)C=CC=C1,-2.860936621,726.0000005,,
BrCCCCCCCC,0.076755981,0.838000001,,
O=[C@](O)[C@@]1(C)[C@]([C@]([C@]([H])2CC3)(C)CCC1)([H])CCC2=C\C3=C(C)/C,-0.173186268,1.489999999,,
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1,0.387216143,0.41,,
C(F)(F)(F)C1=CC(C#N)=CC=C1,-1.678518379,47.7,,
NCCCN1CCN(CCCN)CC1,-3.491361694,3100.000001,,
O=C(C(C1=CC=C(C=C1)Cl)C(C)C)OC(C2=CC=CC(=C2)OC3=CC=CC=C3)C#N,2.292429824,0.0051,,
C=CCC#N,-2.260071388,182,,
C1=CC=C(C(=O)OCCCC)C(=C1)C(=O)OCCCC,0,1,,
C1=CC=CC=C1OCCO,-2.536558443,344.0000003,,
C1(OC)=CC(C=O)=CC(Br)=C1O,-1.775974331,59.69999998,,
O=C(C(=NOC(=O)NC)SC)N(C)C,-0.831229694,6.780000002,,
OC(C)CN,-3.401400541,2520.000001,,
CC(=O)OCCCCCC,-0.643452676,4.399999995,,
NC1=CC=C(CCCCCCCC)C=C1,0.920818754,0.12,,
CCCC=O,-1.167317335,14.70000001,,
CC\C=C/CCO,-2.580924976,381.0000003,,
OC1=C(NC(=O)C)C=CC=C1,-1.431363764,26.99999999,,
CC(=O)OCCCC,-1.255272505,18,,
C1=CC=C2C=CC=C3C2=C1CC3,-0.238046103,1.729999999,,
ON=C1CCCCC1,-2.318063335,208,,
C=CC(=O)OCC(O)C,-0.523746467,3.340000001,,
N1=CC(C)=CC=C1,-2.158362492,144,,
OC1=C(C)C=C(C)C=C1,-1.220108088,16.6,,
N1C(=O)C(CC)(CCC(C)C)C(=O)NC1=O,-1.931457871,85.40000006,,
ClCC1=CC=C(CCl)C=C1,1.408935393,0.039,,
ClC1=C(C=CC(=C1)Cl)O,-0.889301703,7.750000009,,
ClC1=C(O)C(Cl)=CC(=C1)C(C2=CC(Cl)=C(O)C(=C2)Cl)(C)C,-0.123851641,1.33,,
C1N2CN3CN(C2)CN1C3,-4.697229343,49800.00003,,
C1CCCCC1O,-2.847572659,703.9999998,,
CCCCCCCCCCCC(=O)C,0.443697499,0.36,,
OCCN,-3.315970345,2069.999998,,
CCC1=CC(CC)=CC=C1,-0.618048097,4.150000003,,
OCCC,-3.658011397,4550.000004,,
OC1=CC=CC=C1,-1.514547753,32.70000003,,
NCCN,-2.342422681,220.0000001,,
CCC(CCCC)CO,-1.450249108,28.19999998,,
N1C=CC=C1,-2.322219295,210.0000001,,
CCCCC(=O)CCCC,-1.491361694,31.00000001,,
CCCCCC(O)=O,-2.505149978,319.9999998,,
CC(=O)OC,-2.552668216,356.9999999,,
OCCOCCOCCO,-4.838219222,68900.00001,,
C1=CC=CC=C1S(=O)C2=CC=CC=C2,-1.941014244,87.30000006,,
CC(C)(C)SSC(C)(C)C,-0.136720567,1.37,,
NC1=NN=C(C)C(C)=N1,-2.978636948,951.9999992,,
CCCCCCC1OC(=O)CC1,-1.255272505,18,,
C1(C=O)=C(F)C(F)=C(F)C(F)=C1F,-0.041392685,1.1,,
NC1=C(Cl)C=CC=C1,-0.758911892,5.739999995,,
BrC1=C(C)NC(=O)N(C(C)CC)C1=O,-2.269512944,185.9999999,,
ClCC(Cl)CCl,-1.761175813,57.69999998,,
C1(O)=CC(O)=CC=C1C(=O)OC,-1.660865478,45.8,,
CC(=O)C,-3.854913022,7159.999995,,
COCCN,-2.719331287,524,,
CCCN,-2.488550717,308.0000004,,
C1CC(CCC1(N)C)C(C)(N)C,-1.814913181,65.29999996,,
OC1=C(C=C(C=C1Cl)Cl)Cl,-0.689308859,4.889999999,,
N1=C(O)C(C#N)=C(C)C=C1C,-2.195899652,156.9999999,,
COC1=CC=C(C=C1)O,-2.041392685,110,,
C1(OC)=CC=CC=C1C(=O)N,-2.079181246,120,,
CCCCCCCO,-1.537819095,34.49999999,,
CCCCCCCN,-1.338456494,21.80000002,,
CCCCCCCC(=O)C,-1.181843588,15.2,,
OC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,1.031517051,0.093,,
C1=CC=CC=C1OC2=CC=C([N+](=O)[O-])C=C2,-0.423245874,2.65,,
CCCCCCNCCCCCC,0.107905397,0.780000001,,
C1(C)(C)CCCC(C)=C1C=CC(C)=O,-0.706717782,5.089999996,,
C=CCCCCCCC=C,0.537602002,0.29,,
C1=CN=CN1S(=O)(=O)C2=CC=C(C)C=C2,-1.621176282,41.80000002,,
CC(C)(C)SC(C)(C)C,-1.463892989,29.1,,
CCC(C)=NO,-2.925827575,843.0000007,,
C1(C=O)=C([N+]([O-])=O)C=CC=C1,-1.158362492,14.4,,
CCCCSCCCC,-0.553883027,3.580000003,,
C1=CC=CC=C1CN2CCNCC2,-1.675778342,47.40000004,,
CCOC(=O)C1=CC=CC=C1C(=O)OCC,-1.50242712,31.8,,
[C@H]1(CCCC[C@H]1O)C2=CC=CC=C2,-1.64738297,44.39999999,,
N1=C(N)C=CC(Br)=C1,-2.247973266,176.9999999,,
C1=CC(Cl)=CC=C1OC2=C([N+](=O)[O-])C=CC=C2,-0.283301229,1.920000001,,
ClCC#N,-0.130333768,1.349999998,,
C1=CC=CC=C1P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,-1.729974286,53.70000004,,
C=CC(Cl)C(Cl),-0.912753304,8.180000006,,
CCCCCCCCC#N,-0.720159303,5.249999995,,
C1=CC(O)=CC=C1/N=N/C2=CC=CC=C2,-0.068185862,1.170000001,,
O=[C@](O)[C@@]3(C)[C@@]1([H])[C@@](CCC3)(C)[C@]2([H])C(C=[C@@]([C@@H](C)C)CC2)=CC1,-0.376576957,2.38,,
C(F)(F)(F)C(O)C(F)(F)(F),-2.387389826,243.9999998,,
CC1=CC=CC=C1,-1.530199698,33.89999998,,
CC(=O)OCC,-2.361727836,230,,
C1=CC(C#N)=CC=C1C(=O)OC,-1.670245853,46.79999999,,
NC1=CC=C(C=C1)Cl,-1.496929648,31.39999999,,
C1(N)=CC=CC=C1C(=O)N,-2.596597096,395.0000003,,
N1=C(Br)NC(Br)=C1Br,-0.786751422,6.119999998,,
C1=CC=CC=C1C(C)C,-0.800717078,6.319999996,,
C1=CC=C2C3=CC=CC=C3N(C2=C1)C=C,2.494850022,0.0032,,
C=CC(O)CCC,-1.482873584,30.40000003,,
C1(OC)=C([N+]([O-])=O)C(C=O)=CC(Br)=C1O,-1.865103975,73.30000006,,
C=C(C)C(=O)OCC1=CC=CC=C1,-0.669316881,4.670000005,,
C1=C(C=O)C=CC=C1OC2=CC(Cl)=C(Cl)C=C2,0.522878745,0.3,,
C1=CC=CC=C1C(=O)C,-2.209515015,162.0000002,,
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,-1.049218023,11.20000001,,
CCCCOC(=O)CCC(=O)OCCCC,-0.649334859,4.460000003,,
ClCCCCCCl,-1.403120521,25.29999999,,
CC(Cl)CCl,-2.103803721,127,,
Cl\C=C\CCl,0.621602099,0.239,,
N1=CC=C(C(=O)C)C=C1,-2.225309282,168.0000001,,
N1=CC=C(C)C=C1,-2.605305046,402.9999999,,
CC(Cl)(Cl)Cl,-1.674861141,47.30000003,,
CC(C)=CC=C(C)C,-0.5774918,3.780000001,,
CCCCCOCCCCC,-0.496929648,3.139999999,,
BrCC1OCCCC1,-2.311753861,205,,
ClC1=C(Cl)C=C(Cl)C=C1,-0.475671188,2.989999998,,
N1=CC=CC(=C1)CCCO,-2.176091259,150,,
CCCSCCC,-1.336459734,21.70000001,,
CCN(CCO)CC,-3.250420002,1779.999999,,
CC1=CC=C(C)C=C1,-0.94792362,8.870000003,,
BrCCCCCC,-0.537819095,3.449999999,,
CCN(CC)C(=O)C1=CC=CC(C)=C1,-2.041392685,110,,
ClCCCl,-2.133538908,135.9999999,,
C1(C=O)=C(O)C=C(OC)C=C1OC,-0.428134794,2.68,,
C1OCOCO1,-3.774516966,5950.000004,,
CCOC(=O)CCCCCCCCC(=O)OCC,-0.434568904,2.72,,
C#CCN(CC#C)CC#C,-2.471291711,296,,
CC#N,-3.215901813,1643.999999,,
C1=C(C(=O)C)C=C(N)C=C1,-2.582063363,382.0000001,,
CC=NO,-1.880813592,75.99999995,,
OC(CC/C=C(C)/CC/C=C(C)\C)(C)C=C,-0.155336037,1.429999998,,
CC1=CC(Cl)=C(Cl)C=C1,-0.463892989,2.91,,
O=CC1=CC=C(N(CC)CC)C=C1O,-0.72916479,5.360000004,,
CCCCCCCCCCO,-0.380211242,2.400000002,,
CCCCCCCCCCN,-0.012837225,1.030000001,,
CC1=CC(Cl)=NC(N)=N1,-2.149219113,141.0000001,,
C1(C#N)=CC=CC=C1C,-1.650307523,44.69999999,,
CC(=O)OCCC,-1.77815125,59.99999995,,
OC1=C([N+]([O-])=O)C=CC=C1,-2.204119983,160.0000001,,
SC1=NC(C(C(C)CCC)(CC)C(N1)=O)=O,-1.418301291,26.19999998,,
C1(C=O)=C(O)C=CC(Cl)=C1,0.113509275,0.77,,
OCCOCCO,-4.876217841,75200.00007,,
OC1=C(Cl)C(Cl)=C(Cl)C=C1Cl,-0.012837225,1.030000001,,
CCCCOC1=CC=CC=C1,-0.761175813,5.769999998,,
CSCCCCCCSC,-1.004321374,10.10000001,,
CC(=O)OCCOCC,-1.624282096,42.10000002,,
CCOC(=O)C(CC1=CC=CC=C1)C(=O)OCC,-0.73479983,5.430000005,,
OCCN1CCOCC1,-3.432969291,2710.000001,,
NCCCN,-3.075546961,1189.999999,,
CO,-4.46834733,29399.99997,,
OC1=C(C=CC=C1)O,-0.964730921,9.219999999,,
ClC(C(Cl)Cl)(Cl)Cl,-0.876794976,7.529999997,,
C=CC(=O)OCCO,-0.681241237,4.799999996,,
C(C1C=CC(=CC=1)O)(CC)(C)C,-0.413299764,2.59,,
C1=CC=CC=C1CCC(C)(C)O,-1.822168079,66.39999994,,
BrC1=C(O)C(C=O)=CC(Br)=C1,0.070581074,0.850000001,,
CC=CC=CC,-1.301029996,20.00000002,,
C1(Br)=CSC=C1,-0.791690649,6.19,,
CC(C)OC1=CC=CC=C1OC(=O)NC,-0.944482672,8.799999997,,
CC(C=NOC(=O)NC)(SC)C,0.064996849,0.860999999,,
OCC(C)C,-3.155336037,1429.999998,,
O=CC1=CC=CC=C1O,-0.361727836,2.3,,
CC(=O)CCCCCC,-1.556302501,36.00000002,,
C1=CC=CC=C1OC(=O)C2=CC=CC=C2C(=O)OC3=CC=CC=C3,1.096910013,0.08,,
C#CC(C)(O)C(C)C,-2.311753861,205,,
NC1=C(F)C(F)=C(F)C(F)=C1F,-1.56937391,37.10000003,,
C1(CC)=CC=CC(CC)=C1N(COC)C(=O)CCl,-0.698970004,4.999999996,,
C1=CC=CC=C1OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,0.060480747,0.870000001,,
ClC1=CC=C([N+](=O)[O-])C=C1C=O,-0.587710965,3.87,,
OC1=CC=CC2=CC=CC=C12,-0.665580991,4.63,,
C1(C=O)=C(F)C=CC=C1,-0.130333768,1.349999998,,
ClC1=CC=C(C=O)C=C1,-0.342422681,2.200000001,,
BrC(Br)C1=C(C(Br)Br)C=CC=C1,0.359518563,0.437,,
CCNCCO,-3.170261715,1479.999999,,
NC1=CC(C(F)(F)F)=C(F)C=C1,-1.478566496,30.10000003,,
N#CCCCCCCC#N,-2.722633923,528.0000006,,
NC1=C(Cl)C=C([N+]([O-])=O)C=C1,-1.303196057,20.09999998,,
OC1=CC(C(F)(F)F)=C([N+]([O-])=O)C=C1,-0.960946196,9.140000006,,
CC1=CC([N+](=O)[O-])=CC=C1,-1.408239965,25.59999998,,
N1=C(C)C=CC=C1,-2.952792443,896.9999999,,
